obs_self_x,obs_self_y,obs_self_hp,obs_self_isDead,obs_self_hasSpike,obs_paranoia_charges,obs_recon_charges,obs_spike_state,obs_spike_isPlanted,obs_spike_relPlanted_x,obs_spike_relPlanted_y,obs_spike_isDropped,obs_spike_relDropped_x,obs_spike_relDropped_y,obs_agent0_relation,obs_agent0_rel_x,obs_agent0_rel_y,obs_agent0_hp,obs_agent0_isDead,obs_agent1_relation,obs_agent1_rel_x,obs_agent1_rel_y,obs_agent1_hp,obs_agent1_isDead,obs_agent2_relation,obs_agent2_rel_x,obs_agent2_rel_y,obs_agent2_hp,obs_agent2_isDead,obs_agent3_relation,obs_agent3_rel_x,obs_agent3_rel_y,obs_agent3_hp,obs_agent3_isDead,act_type,act_grid_x,act_grid_y,act_ability_target_x,act_ability_target_y
-18.5,-0.5077,1.1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,-0.5,0.5077,-1.0,37.0,3.0077,1.5,0.0,1.0,0.0,1.6201,0.0,1.0,-1.0,0.0,5.0077,0.0,1.0,-1.0,0.0054,2.0077,1.5,0.0,Stay,0,0,0,0
19.5,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-32.0,-12.0019,1.5,0.0,-1.0,-18.008,-10.0,1.5,0.0,1.0,-2.9986,-6.0,1.5,0.0,-1.0,-18.0,-8.0069,1.5,0.0,Stay,0,0,0,0
-14.5028,-3.5,1.5,0.0,0.0,1.0,1.0,3.0,1.0,32.5028,5.5,0.0,0.0,0.0,-1.0,33.0028,5.996,-0.4,1.0,-1.0,20.0028,10.0,1.5,0.0,1.0,31.0028,6.0,0.0,1.0,-1.0,18.0014,10.0,1.1,0.0,Stay,0,0,0,0
-1.5,-8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9962,0.0,1.5,0.0,1.0,-2.0,0.0,1.5,0.0,-1.0,18.0016,11.0,1.5,0.0,1.0,-1.0,-1.0064,1.5,0.0,Stay,0,0,0,0
3.5,5.5034,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,-3.0034,1.5,0.0,-1.0,-6.0,-14.0034,1.5,0.0,1.0,-19.0,-1.1671,1.5,0.0,1.0,-19.0,-5.1671,1.5,0.0,ReconBolt,0,0,3,3
-18.5,-4.4948,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.0038,-4.0052,0.0,1.0,-1.0,20.0,9.9874,1.5,0.0,1.0,35.0016,6.9948,1.5,0.0,-1.0,20.0,4.9885,1.5,0.0,Stay,0,0,0,0
-5.5,4.5074,1.5,0.0,0.0,1.0,0.0,3.0,1.0,-13.5,-1.5074,0.0,0.0,0.0,1.0,12.1822,-4.0074,1.5,0.0,-1.0,-13.0,-3.395,0.0,1.0,1.0,-13.0,-0.0074,0.0,1.0,1.0,-12.9947,-3.0074,-0.4,1.0,Move,-8,3,0,0
-1.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,21.0,19.0,1.5,0.0,1.0,-1.0,0.0,1.5,0.0,-1.0,5.0,16.0085,1.5,0.0,-1.0,-17.0064,15.0,1.5,0.0,Stay,0,0,0,0
-15.5,7.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.7981,-5.0,1.5,0.0,-1.0,23.9976,-17.0,1.5,0.0,1.0,0.0,1.0,1.5,0.0,1.0,18.9965,3.0,1.5,0.0,Move,-16,-1,0,0
0.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-21.0,1.5,0.0,-1.0,0.0,-21.0,1.5,0.0,1.0,-16.0,-2.0,1.5,0.0,1.0,-16.0,-3.0,1.5,0.0,Move,10,7,0,0
18.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.3538,-20.0,1.5,0.0,-1.0,-21.0,-15.9552,1.5,0.0,-1.0,-20.6489,-15.0061,1.5,0.0,-1.0,-18.0,-21.0,1.5,0.0,Stay,0,0,0,0
0.5052,3.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0052,-14.0,1.5,0.0,-1.0,-18.0051,1.008,1.5,0.0,-1.0,-16.0052,-4.0,1.5,0.0,1.0,0.3797,-0.0018,-0.1,1.0,Stay,0,0,0,0
18.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-20.0,-21.0,1.5,0.0,1.0,-34.0,-2.0,1.5,0.0,1.0,-34.0,-3.0,1.5,0.0,1.0,-18.0,0.0,1.5,0.0,Move,18,2,0,0
18.5,1.4901,1.5,0.0,0.0,1.0,1.0,3.0,1.0,-0.5,0.5099,0.0,0.0,0.0,-1.0,-2.0,1.0099,0.0,1.0,1.0,0.0,1.0099,-0.1,1.0,-1.0,-37.0,-4.9901,1.5,0.0,-1.0,-30.0,2.0099,1.5,0.0,Stay,0,0,0,0
-15.5,8.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,20.9943,-18.0,1.5,0.0,-1.0,12.0,-19.0,1.5,0.0,1.0,34.0,2.0,1.5,0.0,-1.0,13.0,-18.0026,1.5,0.0,Move,-19,-5,0,0
-15.5,7.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,-2.9945,1.5,0.0,-1.0,22.5418,-17.0,1.5,0.0,1.0,0.0,1.0,1.5,0.0,1.0,16.0,3.0,1.5,0.0,Move,-16,-1,0,0
16.5026,2.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-18.0026,-13.0,1.5,0.0,-1.0,-16.0026,0.0,1.5,0.0,1.0,-34.0026,2.0079,1.5,0.0,1.0,-32.0026,-3.0,1.5,0.0,Stay,0,0,0,0
-15.5,7.4938,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,-4.9938,1.5,0.0,-1.0,33.5005,-16.9938,1.5,0.0,1.0,0.0,-7.9938,1.5,0.0,1.0,17.0,-3.9938,1.1,0.0,Move,1,3,0,0
18.5,8.2578,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.2422,1.5,0.0,-1.0,-21.0,-18.7578,1.5,0.0,1.0,-18.0,2.2422,1.5,0.0,1.0,-34.0,0.2422,1.5,0.0,Move,19,10,0,0
-2.5,-8.5,1.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,20.5,8.5,-1.0,20.9975,11.0,1.5,0.0,1.0,21.0,2.3067,0.0,1.0,-1.0,-6.0,12.0,1.5,0.0,-1.0,0.7949,7.0,1.5,0.0,Stay,0,0,0,0
-18.5,-4.4956,1.5,0.0,0.0,1.0,1.0,3.0,1.0,36.5,6.4956,0.0,0.0,0.0,1.0,35.0,6.9956,0.0,1.0,-1.0,37.0,6.9956,-0.1,1.0,1.0,6.0,7.9956,1.5,0.0,1.0,23.9902,9.9956,1.5,0.0,Move,18,-10,0,0
-0.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,19.0,21.0,1.5,0.0,1.0,-1.0,0.9559,1.5,0.0,-1.0,-15.0,19.0,1.5,0.0,-1.0,-15.0,18.0,1.5,0.0,Stay,0,0,0,0
16.5077,2.5,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.4923,-1.5,-1.0,1.9923,-1.0042,0.0,1.0,-1.0,-0.8712,3.0,1.5,0.0,-1.0,-8.0162,-2.1442,1.5,0.0,-1.0,1.9923,-9.3951,0.0,1.0,Paranoia,0,0,16,6
-17.494,0.5,1.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,35.494,0.5,-1.0,14.9978,-9.0,0.0,1.0,-1.0,21.9921,5.0,1.5,0.0,1.0,33.9956,2.0,1.5,0.0,-1.0,19.3045,1.0653,1.5,0.0,Move,-1,0,0,0
-15.5,-0.4926,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,2.9926,1.5,0.0,-1.0,13.0,-8.0074,1.5,0.0,1.0,-3.0,-2.0464,1.5,0.0,1.0,25.0,5.9536,1.5,0.0,Stay,0,0,0,0
0.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-21.0,1.5,0.0,-1.0,0.0,-21.0,1.5,0.0,1.0,-16.0,-2.0,1.5,0.0,1.0,-16.0,-3.0,1.5,0.0,Move,3,-4,0,0
-15.5,-3.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,6.0,1.5,0.0,-1.0,13.0,-5.0,1.5,0.0,1.0,-1.0025,0.0,1.5,0.0,1.0,24.0,4.0086,1.5,0.0,Move,-13,-4,0,0
0.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,19.0,19.0,1.5,0.0,1.0,-3.0,0.0,1.5,0.0,-1.0,2.9726,21.0,1.5,0.0,-1.0,-17.9978,16.0,1.5,0.0,Stay,0,0,0,0
-2.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,21.0,11.3484,1.5,0.0,-1.0,2.9654,11.0003,0.7,0.0,-1.0,-13.9931,16.0,1.5,0.0,-1.0,16.0407,9.0,1.5,0.0,Stay,0,0,0,0
15.5,10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,-13.0007,1.5,0.0,1.0,-31.0,-10.9913,1.5,0.0,1.0,-34.0,-6.9943,1.5,0.0,1.0,-15.0,0.0,1.5,0.0,Stay,0,0,0,0
-15.5,-0.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,14.0,-10.0,1.5,0.0,-1.0,20.0,6.9911,0.7,0.0,1.0,-2.0,5.0,1.5,0.0,-1.0,18.9977,6.0,1.5,0.0,Stay,0,0,0,0
13.7549,-9.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-16.2549,4.995,1.5,0.0,-1.0,4.7451,20.0,1.5,0.0,1.0,-15.2613,4.9999,1.5,0.0,1.0,-13.2549,-1.0,1.5,0.0,Stay,0,0,0,0
18.5103,8.5,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-0.5103,-6.5,-1.0,-0.0103,-6.0006,-1.2,1.0,-1.0,-17.0103,-2.008,1.5,0.0,1.0,-3.0036,-3.0,0.0,1.0,-1.0,-13.0,-8.0052,1.5,0.0,Move,19,8,0,0
1.5,6.492,1.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,16.5,-4.492,1.0,17.0,-3.9927,-1.2,1.0,-1.0,14.0067,-0.992,0.0,1.0,1.0,7.9903,-6.992,1.5,0.0,1.0,16.9985,-15.5209,1.5,0.0,Stay,0,0,0,0
18.5,4.207,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-20.9962,-12.707,1.5,0.0,-1.0,-22.0,-12.707,1.5,0.0,-1.0,-21.0,-13.7133,1.5,0.0,-1.0,-18.9942,-10.707,1.5,0.0,Stay,0,0,0,0
-2.5,-10.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,19.005,11.0,1.5,0.0,-1.0,3.997,11.0,-0.8,1.0,-1.0,-13.0045,7.0,1.5,0.0,-1.0,6.0005,7.0,1.5,0.0,Stay,0,0,0,0
18.5,8.4962,1.1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,-0.5,-9.4962,-1.0,0.0,-8.9962,-0.8,1.0,-1.0,-10.0072,-2.9962,1.5,0.0,1.0,-4.9127,-2.9962,-0.1,1.0,-1.0,-15.8469,-2.9962,1.5,0.0,Move,20,8,0,0
-15.5,-0.4981,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,13.0038,-8.0019,1.5,0.0,-1.0,12.0,-8.0019,1.5,0.0,1.0,32.0016,2.9981,1.5,0.0,-1.0,13.0,-9.0082,1.5,0.0,ReconBolt,0,0,-15,-2
16.5053,2.5,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.4947,-0.5,-1.0,1.9947,0.0,-0.8,1.0,1.0,-32.0054,4.6703,1.5,0.0,1.0,-35.0053,-4.3739,1.5,0.0,1.0,-15.0053,-6.0,0.7,0.0,Paranoia,0,0,18,1
